Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Manchester Utd,1,38.0,43,2.0,2.0,6.0,1.0,41.3,0.27,-0.7,-0.02,141.0,449.0,31.4,909.0,128.0,37.0,32.3,302.0,37.4,31.7,526.0,15.0,2.9,32.0,0.84,14.8,Premier League 2022-2023,premier league,2022-2023,2022
Newcastle Utd,2,38.0,33,2.0,0.0,8.0,2.0,33.2,0.24,2.2,0.06,126.0,378.0,33.3,714.0,246.0,32.2,20.7,230.0,64.3,48.5,441.0,35.0,7.9,74.0,1.95,12.4,Premier League 2022-2023,premier league,2022-2023,2022
Nott'ham Forest,3,38.0,68,6.0,2.0,9.0,0.0,60.1,0.3,-7.9,-0.21,237.0,712.0,33.3,957.0,185.0,51.0,43.2,338.0,66.3,47.5,621.0,35.0,5.6,38.0,1.0,17.0,Premier League 2022-2023,premier league,2022-2023,2022
Southampton,2,38.0,73,2.0,1.0,8.0,5.0,46.0,0.29,-22.0,-0.58,234.0,742.0,31.5,1115.0,173.0,50.5,36.5,303.0,59.1,44.9,548.0,42.0,7.7,55.0,1.45,13.5,Premier League 2022-2023,premier league,2022-2023,2022
Tottenham,2,38.0,63,3.0,1.0,7.0,1.0,55.1,0.3,-6.9,-0.18,113.0,342.0,33.0,804.0,180.0,31.0,30.2,283.0,32.9,29.5,515.0,25.0,4.9,45.0,1.18,15.2,Premier League 2022-2023,premier league,2022-2023,2022
West Ham,2,38.0,55,4.0,0.0,4.0,1.0,53.2,0.29,-0.8,-0.02,212.0,553.0,38.3,715.0,167.0,54.7,33.4,302.0,53.6,40.8,560.0,31.0,5.5,26.0,0.68,10.3,Premier League 2022-2023,premier league,2022-2023,2022
Wolves,2,38.0,58,2.0,0.0,6.0,1.0,52.2,0.28,-4.8,-0.13,130.0,464.0,28.0,992.0,196.0,29.8,32.9,283.0,59.4,45.1,577.0,48.0,8.3,29.0,0.76,8.0,Premier League 2022-2023,premier league,2022-2023,2022
Almería,3,38.0,65,4.0,1.0,5.0,1.0,63.4,0.29,-0.6,-0.01,204.0,572.0,35.7,990.0,220.0,39.2,36.9,356.0,51.7,42.6,642.0,40.0,6.2,28.0,0.74,12.4,La Liga 2022-2023,la liga,2022-2023,2022
Athletic Club,2,38.0,43,3.0,1.0,1.0,3.0,37.2,0.29,-2.8,-0.07,171.0,452.0,37.8,925.0,187.0,30.9,30.5,264.0,62.9,48.3,451.0,29.0,6.4,50.0,1.32,15.4,La Liga 2022-2023,la liga,2022-2023,2022
Atlético Madrid,3,38.0,33,4.0,1.0,5.0,0.0,36.3,0.26,3.3,0.09,166.0,525.0,31.6,812.0,165.0,39.8,34.1,334.0,60.5,46.3,575.0,48.0,8.3,26.0,0.68,9.2,La Liga 2022-2023,la liga,2022-2023,2022
Barcelona,2,38.0,20,3.0,0.0,2.0,3.0,25.1,0.22,8.1,0.21,169.0,338.0,50.0,1216.0,190.0,22.3,25.2,223.0,30.0,32.5,375.0,18.0,4.8,43.0,1.13,16.5,La Liga 2022-2023,la liga,2022-2023,2022
Betis,2,38.0,41,3.0,1.0,7.0,1.0,44.0,0.29,4.0,0.1,229.0,635.0,36.1,956.0,149.0,44.0,39.6,315.0,67.9,49.1,582.0,22.0,3.8,43.0,1.13,12.1,La Liga 2022-2023,la liga,2022-2023,2022
Cádiz,2,38.0,53,9.0,1.0,7.0,0.0,53.4,0.22,0.4,0.01,270.0,829.0,32.6,916.0,150.0,59.1,46.4,322.0,89.4,64.2,651.0,44.0,6.8,30.0,0.79,13.6,La Liga 2022-2023,la liga,2022-2023,2022
Celta Vigo,2,38.0,53,5.0,1.0,10.0,1.0,42.9,0.27,-9.1,-0.24,184.0,506.0,36.4,934.0,171.0,37.5,35.3,289.0,54.0,43.9,509.0,22.0,4.3,39.0,1.03,18.1,La Liga 2022-2023,la liga,2022-2023,2022
Elche,2,38.0,67,7.0,0.0,6.0,2.0,71.9,0.31,6.9,0.18,195.0,442.0,44.1,819.0,175.0,33.8,34.9,318.0,51.9,40.9,600.0,22.0,3.7,21.0,0.55,14.0,La Liga 2022-2023,la liga,2022-2023,2022
Espanyol,4,38.0,69,5.0,1.0,9.0,2.0,54.5,0.27,-12.5,-0.33,305.0,659.0,46.3,865.0,122.0,49.7,36.2,347.0,66.0,48.0,557.0,27.0,4.8,46.0,1.21,13.8,La Liga 2022-2023,la liga,2022-2023,2022
Getafe,1,38.0,45,4.0,0.0,7.0,2.0,45.5,0.23,2.5,0.07,409.0,904.0,45.2,782.0,99.0,75.1,49.8,347.0,91.4,59.8,586.0,36.0,6.1,46.0,1.21,15.0,La Liga 2022-2023,la liga,2022-2023,2022
Girona,2,38.0,55,6.0,2.0,5.0,0.0,62.0,0.33,7.0,0.18,169.0,464.0,36.4,1075.0,192.0,28.4,28.7,329.0,48.3,41.9,597.0,43.0,7.2,59.0,1.55,16.9,La Liga 2022-2023,la liga,2022-2023,2022
Mallorca,3,38.0,43,6.0,0.0,3.0,0.0,41.5,0.24,-1.5,-0.04,351.0,841.0,41.7,950.0,130.0,61.9,35.2,338.0,74.9,54.0,657.0,35.0,5.3,21.0,0.55,17.4,La Liga 2022-2023,la liga,2022-2023,2022
Osasuna,2,38.0,42,1.0,1.0,3.0,2.0,39.1,0.26,-0.9,-0.02,342.0,789.0,43.3,1084.0,145.0,53.4,41.1,315.0,66.7,50.8,534.0,30.0,5.6,57.0,1.5,16.3,La Liga 2022-2023,la liga,2022-2023,2022
Rayo Vallecano,2,38.0,53,4.0,0.0,11.0,4.0,45.9,0.3,-3.1,-0.08,154.0,545.0,28.3,834.0,204.0,44.5,30.3,310.0,56.1,46.5,512.0,24.0,4.7,54.0,1.42,17.0,La Liga 2022-2023,la liga,2022-2023,2022
Real Madrid,2,38.0,36,4.0,0.0,2.0,1.0,34.2,0.22,-0.8,-0.02,97.0,241.0,40.2,1108.0,230.0,17.7,27.7,253.0,17.8,25.0,420.0,33.0,7.9,51.0,1.34,15.4,La Liga 2022-2023,la liga,2022-2023,2022
Real Sociedad,1,38.0,35,1.0,1.0,3.0,2.0,32.8,0.24,-0.2,0.0,244.0,572.0,42.7,1062.0,138.0,40.9,35.9,244.0,56.6,46.2,453.0,18.0,4.0,47.0,1.24,15.9,La Liga 2022-2023,la liga,2022-2023,2022
Sevilla,2,38.0,54,2.0,1.0,5.0,3.0,49.5,0.3,-1.5,-0.04,218.0,629.0,34.7,1143.0,136.0,38.0,30.9,307.0,63.5,49.3,524.0,32.0,6.1,49.0,1.29,17.4,La Liga 2022-2023,la liga,2022-2023,2022
Valencia,1,38.0,45,2.0,0.0,7.0,2.0,42.9,0.28,-0.1,0.0,177.0,522.0,33.9,806.0,142.0,42.7,35.1,276.0,64.5,48.1,457.0,35.0,7.7,47.0,1.24,16.3,La Liga 2022-2023,la liga,2022-2023,2022
Valladolid,3,38.0,63,6.0,1.0,0.0,1.0,62.6,0.28,0.6,0.02,192.0,553.0,34.7,963.0,170.0,38.3,25.7,358.0,51.4,41.9,563.0,20.0,3.6,33.0,0.87,33.0,La Liga 2022-2023,la liga,2022-2023,2022
Villarreal,3,38.0,40,4.0,0.0,4.0,1.0,43.7,0.27,4.7,0.12,114.0,330.0,34.5,1159.0,191.0,21.7,22.8,293.0,26.6,29.1,548.0,37.0,6.8,45.0,1.18,13.3,La Liga 2022-2023,la liga,2022-2023,2022
Atalanta,3,38.0,48,3.0,1.0,5.0,2.0,41.3,0.25,-4.7,-0.12,161.0,425.0,37.9,863.0,237.0,28.9,32.1,307.0,57.3,44.7,454.0,32.0,7.0,42.0,1.11,15.6,Serie A 2022-2023,serie a,2022-2023,2022
Bologna,2,38.0,49,7.0,1.0,6.0,3.0,48.3,0.25,2.3,0.06,151.0,380.0,39.7,927.0,211.0,30.5,35.6,306.0,31.7,31.7,502.0,29.0,5.8,24.0,0.63,,Serie A 2022-2023,serie a,2022-2023,2022
Cremonese,3,38.0,69,5.0,3.0,11.0,1.0,68.1,0.29,0.1,0.0,214.0,704.0,30.4,1039.0,181.0,50.7,35.7,324.0,54.6,45.8,527.0,35.0,6.6,39.0,1.03,8.6,Serie A 2022-2023,serie a,2022-2023,2022
Empoli,3,38.0,49,4.0,0.0,10.0,1.0,48.6,0.28,0.6,0.01,163.0,530.0,30.8,1144.0,191.0,36.5,18.5,363.0,30.9,30.4,741.0,39.0,5.3,26.0,0.68,,Serie A 2022-2023,serie a,2022-2023,2022
Fiorentina,4,38.0,43,7.0,0.0,4.0,2.0,39.2,0.26,-1.8,-0.05,198.0,499.0,39.7,1183.0,166.0,32.6,32.4,245.0,46.1,40.6,336.0,14.0,4.2,60.0,1.58,9.3,Serie A 2022-2023,serie a,2022-2023,2022
Hellas Verona,2,38.0,59,1.0,1.0,4.0,3.0,50.3,0.27,-5.7,-0.15,366.0,805.0,45.5,919.0,124.0,63.8,57.3,304.0,72.0,51.9,515.0,27.0,5.2,56.0,1.47,12.0,Serie A 2022-2023,serie a,2022-2023,2022
Inter,3,38.0,42,3.0,0.0,6.0,3.0,34.8,0.23,-4.2,-0.11,151.0,364.0,41.5,1336.0,189.0,22.7,33.5,290.0,21.0,28.1,439.0,17.0,3.9,20.0,0.53,,Serie A 2022-2023,serie a,2022-2023,2022
Juventus,2,38.0,33,4.0,0.0,6.0,0.0,37.1,0.24,4.1,0.11,160.0,377.0,42.4,825.0,182.0,34.7,30.8,312.0,29.2,29.0,543.0,15.0,2.8,32.0,0.84,15.7,Serie A 2022-2023,serie a,2022-2023,2022
Lazio,2,38.0,30,1.0,0.0,5.0,1.0,31.4,0.25,2.4,0.06,160.0,376.0,42.6,1014.0,167.0,30.6,,309.0,21.4,23.7,493.0,21.0,4.3,55.0,1.45,19.0,Serie A 2022-2023,serie a,2022-2023,2022
Lecce,1,38.0,46,5.0,2.0,6.0,3.0,43.5,0.24,0.5,0.01,194.0,721.0,26.9,869.0,143.0,57.1,42.1,289.0,77.9,52.8,534.0,23.0,4.3,42.0,1.11,14.1,Serie A 2022-2023,serie a,2022-2023,2022
Milan,3,38.0,43,4.0,3.0,6.0,1.0,37.2,0.26,-4.8,-0.13,170.0,388.0,43.8,1124.0,194.0,28.2,32.9,246.0,28.9,28.9,416.0,24.0,5.8,45.0,1.18,14.4,Serie A 2022-2023,serie a,2022-2023,2022
Monza,2,38.0,52,3.0,1.0,4.0,1.0,50.3,0.28,-0.7,-0.02,168.0,480.0,35.0,1230.0,240.0,31.5,22.6,313.0,29.7,30.3,548.0,14.0,2.6,34.0,0.89,25.7,Serie A 2022-2023,serie a,2022-2023,2022
Napoli,2,38.0,28,1.0,0.0,2.0,0.0,28.0,0.24,0.0,0.0,71.0,181.0,39.2,858.0,145.0,15.3,29.6,232.0,21.6,27.4,391.0,13.0,3.3,43.0,1.13,18.8,Serie A 2022-2023,serie a,2022-2023,2022
Roma,2,38.0,38,2.0,1.0,4.0,1.0,30.5,0.23,-6.5,-0.17,151.0,372.0,40.6,702.0,134.0,38.9,41.4,259.0,38.2,36.2,444.0,22.0,5.0,29.0,0.76,12.1,Serie A 2022-2023,serie a,2022-2023,2022
Salernitana,3,38.0,62,7.0,1.0,6.0,0.0,67.1,0.29,5.1,0.13,218.0,719.0,30.3,1064.0,132.0,47.7,37.9,360.0,58.6,44.7,540.0,28.0,5.2,23.0,0.61,6.0,Serie A 2022-2023,serie a,2022-2023,2022
Sampdoria,3,38.0,71,8.0,0.0,10.0,2.0,58.2,0.23,-10.8,-0.28,243.0,664.0,36.6,1032.0,164.0,45.0,35.6,349.0,57.3,43.1,571.0,34.0,6.0,26.0,0.68,10.5,Serie A 2022-2023,serie a,2022-2023,2022
Sassuolo,3,38.0,61,4.0,0.0,5.0,2.0,44.6,0.32,-14.4,-0.38,185.0,466.0,39.7,1176.0,199.0,31.6,29.7,376.0,25.0,27.7,509.0,30.0,5.9,28.0,0.74,9.0,Serie A 2022-2023,serie a,2022-2023,2022
Spezia,4,38.0,62,5.0,1.0,8.0,3.0,52.1,0.25,-6.9,-0.18,185.0,585.0,31.6,1019.0,177.0,43.0,39.0,339.0,43.4,36.6,566.0,18.0,3.2,41.0,1.08,14.7,Serie A 2022-2023,serie a,2022-2023,2022
Torino,1,38.0,41,5.0,0.0,6.0,0.0,35.8,0.23,-5.2,-0.14,285.0,939.0,30.4,1495.0,185.0,45.4,39.7,297.0,87.9,67.8,469.0,36.0,7.7,70.0,1.84,16.2,Serie A 2022-2023,serie a,2022-2023,2022
Udinese,1,38.0,48,6.0,2.0,3.0,2.0,48.7,0.31,2.7,0.07,144.0,380.0,37.9,858.0,142.0,32.4,32.0,316.0,32.3,32.9,547.0,13.0,2.4,21.0,0.55,12.2,Serie A 2022-2023,serie a,2022-2023,2022
Ajaccio,3,38.0,74,9.0,1.0,11.0,2.0,57.6,0.31,-14.4,-0.38,238.0,633.0,37.6,784.0,90.0,53.3,40.7,261.0,82.4,51.6,507.0,26.0,5.1,60.0,1.58,11.5,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Angers,2,38.0,81,9.0,1.0,9.0,4.0,67.8,0.3,-9.2,-0.24,127.0,416.0,30.5,733.0,194.0,38.1,33.6,256.0,53.5,42.1,500.0,38.0,7.6,27.0,0.71,11.8,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Auxerre,3,38.0,63,4.0,0.0,3.0,1.0,57.8,0.3,-4.2,-0.11,268.0,698.0,38.4,978.0,145.0,48.4,46.4,289.0,77.9,53.5,599.0,17.0,2.8,26.0,0.68,12.9,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Brest,2,38.0,54,7.0,1.0,11.0,2.0,55.1,0.26,3.1,0.08,206.0,490.0,42.0,824.0,166.0,38.7,45.7,300.0,57.0,43.3,531.0,32.0,6.0,25.0,0.66,3.5,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Clermont Foot,2,38.0,49,8.0,0.0,5.0,0.0,56.5,0.29,7.5,0.2,238.0,618.0,38.5,1196.0,177.0,41.4,33.6,308.0,39.9,35.9,478.0,35.0,7.3,30.0,0.79,21.3,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Lens,2,38.0,29,3.0,0.0,6.0,1.0,34.0,0.24,6.0,0.16,183.0,449.0,40.8,1059.0,145.0,37.1,36.8,215.0,26.0,27.8,404.0,35.0,8.7,41.0,1.08,8.2,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Lille,2,38.0,44,4.0,2.0,3.0,3.0,39.2,0.28,-1.8,-0.05,82.0,316.0,25.9,963.0,148.0,27.5,29.4,198.0,25.8,26.8,382.0,27.0,7.1,34.0,0.89,13.5,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Lorient,2,38.0,53,2.0,2.0,6.0,1.0,52.4,0.28,0.4,0.01,142.0,404.0,35.1,852.0,186.0,32.9,29.5,349.0,35.5,30.5,725.0,33.0,4.6,16.0,0.42,10.6,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Lyon,2,38.0,47,11.0,2.0,5.0,3.0,50.2,0.26,6.2,0.16,126.0,366.0,34.4,1010.0,164.0,29.8,28.7,236.0,27.5,30.2,436.0,25.0,5.7,35.0,0.92,17.2,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Marseille,2,38.0,40,5.0,0.0,7.0,3.0,37.7,0.24,0.7,0.02,123.0,371.0,33.2,1071.0,163.0,25.1,27.4,248.0,41.1,35.2,443.0,25.0,5.6,44.0,1.16,17.9,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Monaco,1,38.0,58,5.0,1.0,4.0,3.0,49.5,0.24,-5.5,-0.14,189.0,445.0,42.5,869.0,203.0,32.5,32.8,272.0,59.9,44.8,454.0,36.0,7.9,33.0,0.87,12.7,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Montpellier,4,38.0,62,6.0,0.0,6.0,2.0,64.7,0.28,4.7,0.12,201.0,583.0,34.5,933.0,172.0,42.8,49.4,304.0,60.5,44.9,572.0,34.0,5.9,27.0,0.71,8.3,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Nantes,2,38.0,55,9.0,1.0,6.0,4.0,56.3,0.26,5.3,0.14,194.0,525.0,37.0,962.0,211.0,36.9,33.2,253.0,67.2,49.2,504.0,43.0,8.5,39.0,1.03,7.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Nice,2,38.0,37,3.0,2.0,5.0,0.0,39.0,0.24,2.0,0.05,178.0,408.0,43.6,946.0,130.0,30.5,32.7,308.0,38.6,35.3,481.0,26.0,5.4,26.0,0.68,12.9,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Paris S-G,2,38.0,40,2.0,1.0,3.0,1.0,43.3,0.26,4.3,0.11,54.0,148.0,36.5,687.0,167.0,15.7,19.0,252.0,15.9,21.8,437.0,33.0,7.6,27.0,0.71,,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Reims,2,38.0,45,3.0,2.0,4.0,2.0,48.8,0.28,5.8,0.15,165.0,402.0,41.0,1007.0,216.0,31.2,31.8,263.0,33.5,33.7,533.0,48.0,9.0,39.0,1.03,12.7,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Rennes,2,38.0,39,3.0,0.0,7.0,1.0,38.9,0.28,0.9,0.02,186.0,487.0,38.2,1126.0,180.0,31.5,33.0,232.0,56.9,42.3,457.0,40.0,8.8,56.0,1.47,14.8,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Strasbourg,1,38.0,59,10.0,1.0,6.0,0.0,56.5,0.27,-2.5,-0.06,159.0,455.0,34.9,745.0,130.0,46.2,36.9,226.0,49.1,40.1,504.0,31.0,6.2,32.0,0.84,12.8,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Toulouse,1,38.0,57,4.0,2.0,8.0,3.0,54.2,0.28,0.2,0.01,136.0,363.0,37.5,947.0,176.0,25.6,29.5,323.0,37.5,32.8,517.0,30.0,5.8,21.0,0.55,10.1,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Troyes,2,38.0,81,7.0,0.0,10.0,2.0,71.3,0.29,-7.7,-0.2,146.0,518.0,28.2,935.0,185.0,36.4,35.2,326.0,54.6,42.0,650.0,45.0,6.9,22.0,0.58,14.4,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Ajax,2,34.0,38,1.0,2.0,4.0,0.0,33.7,0.29,-4.3,-0.13,131.0,333.0,39.3,1287.0,188.0,22.3,30.8,168.0,27.4,30.1,326.0,40.0,12.3,60.0,1.76,20.5,Eredivisie 2022-2023,eredivisie,2022-2023,2022
AZ Alkmaar,2,34.0,35,4.0,0.0,4.0,0.0,34.9,0.32,-0.1,0.0,193.0,536.0,36.0,891.0,153.0,42.4,39.1,251.0,62.9,47.9,464.0,24.0,5.2,29.0,0.85,14.5,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Cambuur,3,34.0,69,6.0,0.0,8.0,3.0,65.4,0.3,-0.6,-0.02,263.0,679.0,38.7,1055.0,177.0,45.2,37.6,358.0,56.4,45.5,561.0,25.0,4.5,42.0,1.24,16.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Emmen,2,34.0,65,2.0,2.0,14.0,1.0,50.0,0.3,-14.0,-0.41,166.0,538.0,30.9,957.0,137.0,40.5,35.3,296.0,50.7,41.3,555.0,20.0,3.6,26.0,0.76,12.1,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Excelsior,2,34.0,71,1.0,1.0,11.0,2.0,73.7,0.31,4.7,0.14,237.0,660.0,35.9,956.0,182.0,46.8,34.2,315.0,67.6,52.6,597.0,31.0,5.2,21.0,0.62,5.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Feyenoord,2,34.0,30,0.0,0.0,5.0,2.0,32.3,0.32,4.3,0.13,99.0,283.0,35.0,914.0,186.0,24.3,27.2,183.0,33.3,33.8,368.0,35.0,9.5,49.0,1.44,21.3,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Fortuna Sittard,2,34.0,62,3.0,0.0,6.0,2.0,56.0,0.29,-4.0,-0.12,307.0,688.0,44.6,990.0,153.0,44.2,36.5,330.0,75.8,52.8,676.0,77.0,11.4,24.0,0.71,11.5,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Go Ahead Eag,1,34.0,56,2.0,1.0,5.0,2.0,54.2,0.31,0.2,0.01,234.0,554.0,42.2,956.0,154.0,47.4,37.0,297.0,34.0,30.9,546.0,21.0,3.8,38.0,1.12,15.8,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Groningen,3,34.0,75,7.0,1.0,7.0,0.0,65.4,0.31,-9.6,-0.28,219.0,668.0,32.8,1003.0,136.0,45.5,39.9,320.0,66.3,50.0,542.0,19.0,3.5,27.0,0.79,11.9,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Heerenveen,3,34.0,50,4.0,0.0,8.0,1.0,49.3,0.31,0.3,0.01,181.0,514.0,35.2,900.0,164.0,40.3,,301.0,50.2,42.3,513.0,31.0,6.0,40.0,1.18,,Eredivisie 2022-2023,eredivisie,2022-2023,2022
NEC Nijmegen,2,34.0,45,4.0,2.0,2.0,1.0,48.1,0.25,4.1,0.12,209.0,566.0,36.9,898.0,174.0,46.7,41.4,290.0,50.7,41.3,524.0,22.0,4.2,43.0,1.26,6.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
PSV Eindhoven,2,34.0,40,2.0,1.0,6.0,2.0,33.9,0.27,-4.1,-0.12,187.0,429.0,43.6,731.0,111.0,40.8,43.4,224.0,58.5,44.4,364.0,31.0,8.5,25.0,0.74,15.4,Eredivisie 2022-2023,eredivisie,2022-2023,2022
RKC Waalwijk,2,34.0,64,5.0,1.0,6.0,1.0,62.8,0.28,-0.2,-0.01,204.0,600.0,34.0,975.0,217.0,45.0,30.3,305.0,52.8,43.7,566.0,62.0,11.0,42.0,1.24,6.1,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Sparta R'dam,2,34.0,37,2.0,1.0,6.0,1.0,44.2,0.26,8.2,0.24,311.0,658.0,47.3,1041.0,150.0,47.9,32.6,295.0,53.9,42.5,547.0,47.0,8.6,41.0,1.21,17.6,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Twente,2,34.0,27,1.0,1.0,6.0,1.0,33.8,0.26,7.8,0.23,139.0,441.0,31.5,720.0,131.0,43.1,23.4,228.0,57.5,44.0,374.0,17.0,4.5,67.0,1.97,21.5,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Utrecht,2,34.0,50,1.0,0.0,5.0,0.0,49.0,0.31,-1.0,-0.03,176.0,430.0,40.9,829.0,160.0,34.6,33.3,263.0,54.4,42.6,531.0,45.0,8.5,28.0,0.82,14.5,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Vitesse,3,34.0,50,1.0,2.0,4.0,1.0,43.8,0.31,-5.2,-0.15,209.0,617.0,33.9,937.0,174.0,47.0,45.9,251.0,70.5,54.3,509.0,54.0,10.6,38.0,1.12,10.1,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Volendam,2,34.0,71,2.0,0.0,10.0,4.0,67.4,0.32,0.4,0.01,238.0,722.0,33.0,872.0,146.0,51.5,49.7,333.0,82.0,57.1,601.0,26.0,4.3,51.0,1.5,10.5,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Arouca,4,34.0,37,5.0,1.0,3.0,1.0,47.6,0.27,11.6,0.34,203.0,530.0,38.3,802.0,197.0,42.6,36.3,346.0,54.3,41.4,673.0,41.0,6.1,31.0,0.91,13.2,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Benfica,2,34.0,20,2.0,0.0,2.0,1.0,20.3,0.26,1.3,0.04,77.0,188.0,41.0,641.0,144.0,22.5,31.8,174.0,25.3,30.3,327.0,20.0,6.1,29.0,0.85,,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Boavista,3,34.0,54,5.0,0.0,4.0,2.0,52.7,0.33,0.7,0.02,163.0,444.0,36.7,669.0,142.0,43.6,35.4,283.0,53.7,42.6,501.0,44.0,8.8,25.0,0.74,10.7,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Braga,3,34.0,30,4.0,0.0,2.0,0.0,33.3,0.27,3.3,0.1,187.0,440.0,42.5,1030.0,159.0,31.4,24.8,251.0,46.6,38.9,457.0,34.0,7.4,54.0,1.59,14.6,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Casa Pia,3,34.0,40,5.0,0.0,5.0,2.0,47.6,0.28,9.6,0.28,167.0,525.0,31.8,788.0,123.0,39.3,35.3,306.0,70.3,50.7,493.0,35.0,7.1,30.0,0.88,12.0,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Chaves,3,34.0,40,6.0,1.0,4.0,0.0,49.4,0.26,9.4,0.28,162.0,437.0,37.1,798.0,203.0,33.7,35.0,332.0,50.6,43.2,670.0,65.0,9.7,55.0,1.62,13.2,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Estoril,2,34.0,49,10.0,0.0,9.0,1.0,56.6,0.27,8.6,0.25,129.0,380.0,33.9,899.0,188.0,27.0,30.6,318.0,43.1,39.1,555.0,22.0,4.0,32.0,0.94,14.8,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Famalicão,2,34.0,47,7.0,0.0,3.0,2.0,44.4,0.23,-0.6,-0.02,210.0,514.0,40.9,782.0,169.0,42.3,48.4,301.0,60.8,47.3,543.0,41.0,7.6,33.0,0.97,6.2,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Gil Vicente FC,2,34.0,41,3.0,0.0,8.0,0.0,51.9,0.29,10.9,0.32,150.0,355.0,42.3,1048.0,270.0,22.8,28.8,290.0,40.0,38.0,515.0,38.0,7.4,60.0,1.76,14.2,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Marítimo,4,34.0,63,7.0,0.0,5.0,1.0,62.6,0.34,0.6,0.02,123.0,427.0,28.8,800.0,160.0,33.5,31.6,332.0,47.9,40.4,471.0,24.0,5.1,49.0,1.44,16.3,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Paços de Ferreira,4,34.0,62,2.0,1.0,5.0,4.0,56.9,0.34,-1.1,-0.03,175.0,463.0,37.8,746.0,133.0,40.5,31.7,298.0,54.0,42.2,533.0,30.0,5.6,36.0,1.06,14.8,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Portimonense,2,34.0,48,2.0,2.0,5.0,1.0,59.6,0.29,12.6,0.37,230.0,599.0,38.4,999.0,153.0,39.6,34.7,315.0,64.4,48.6,535.0,18.0,3.4,37.0,1.09,13.4,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Porto,2,34.0,22,4.0,1.0,1.0,3.0,25.1,0.27,6.1,0.18,186.0,415.0,44.8,1065.0,157.0,32.3,21.5,228.0,31.1,34.1,412.0,31.0,7.5,45.0,1.32,24.0,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Rio Ave,2,34.0,43,1.0,1.0,4.0,3.0,46.2,0.29,6.2,0.18,135.0,367.0,36.8,805.0,214.0,28.8,32.3,289.0,46.7,42.1,552.0,32.0,5.8,31.0,0.91,17.7,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Santa Clara,2,34.0,58,7.0,1.0,8.0,3.0,55.9,0.3,0.9,0.03,264.0,647.0,40.8,873.0,123.0,51.2,39.0,292.0,68.5,50.3,515.0,19.0,3.7,33.0,0.97,14.2,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
