Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs Plymouth Argyle,34,57.6,46.0,29052.0,2457.0,8682.0,13030.0,7599.0,1306.0,29048.0,782.0,322.0,41.2,404.0,51.7,15293.0,78338.0,38581.0,805.0,539.0,234.0,774.0,446.0,18497.0,1801.0,Championship 2024-2025,championship,2024-2025,2024
vs Portsmouth,37,54.9,46.0,26912.0,3376.0,10787.0,10784.0,5585.0,1101.0,26908.0,692.0,328.0,47.4,314.0,45.4,13358.0,72455.0,36202.0,743.0,415.0,239.0,673.0,356.0,15657.0,1444.0,Championship 2024-2025,championship,2024-2025,2024
vs Preston,28,51.7,46.0,26653.0,2703.0,8883.0,12059.0,5992.0,904.0,26646.0,750.0,323.0,43.1,367.0,48.9,13675.0,72024.0,35210.0,711.0,457.0,186.0,715.0,434.0,16162.0,1502.0,Championship 2024-2025,championship,2024-2025,2024
vs QPR,30,53.5,46.0,28040.0,2745.0,8993.0,12220.0,7032.0,959.0,28037.0,665.0,274.0,41.2,349.0,52.5,14662.0,75333.0,35517.0,704.0,501.0,192.0,717.0,408.0,17787.0,1775.0,Championship 2024-2025,championship,2024-2025,2024
vs Sheffield Utd,33,48.6,46.0,25807.0,3073.0,9492.0,10634.0,5896.0,882.0,25802.0,684.0,283.0,41.4,353.0,51.6,13663.0,73605.0,35929.0,712.0,514.0,183.0,680.0,412.0,15753.0,1488.0,Championship 2024-2025,championship,2024-2025,2024
vs Sheffield Weds,28,51.8,46.0,26438.0,3140.0,9242.0,11802.0,5609.0,810.0,26432.0,698.0,292.0,41.8,352.0,50.4,14060.0,67971.0,32612.0,581.0,410.0,136.0,692.0,411.0,16227.0,1345.0,Championship 2024-2025,championship,2024-2025,2024
vs Stoke City,32,53.1,46.0,27082.0,2835.0,9186.0,11626.0,6495.0,1099.0,27077.0,670.0,312.0,46.6,298.0,44.5,14624.0,73744.0,36576.0,783.0,486.0,247.0,676.0,409.0,16924.0,1552.0,Championship 2024-2025,championship,2024-2025,2024
vs Sunderland,30,50.9,46.0,26890.0,3011.0,9264.0,11757.0,6126.0,861.0,26885.0,766.0,355.0,46.3,360.0,47.0,14920.0,73566.0,34343.0,629.0,448.0,161.0,631.0,410.0,16887.0,1489.0,Championship 2024-2025,championship,2024-2025,2024
vs Swansea City,26,42.4,46.0,23091.0,2989.0,8999.0,9319.0,5040.0,928.0,23087.0,695.0,316.0,45.5,324.0,46.6,11525.0,59613.0,28022.0,598.0,382.0,220.0,636.0,429.0,12995.0,1229.0,Championship 2024-2025,championship,2024-2025,2024
vs Watford,32,47.6,46.0,25161.0,2753.0,8069.0,11065.0,6251.0,936.0,25160.0,680.0,264.0,38.8,356.0,52.4,12874.0,67395.0,34332.0,686.0,482.0,167.0,653.0,361.0,15029.0,1508.0,Championship 2024-2025,championship,2024-2025,2024
vs West Brom,30,45.9,46.0,24953.0,2922.0,8624.0,10651.0,5910.0,834.0,24952.0,631.0,268.0,42.5,327.0,51.8,13255.0,66748.0,32421.0,646.0,424.0,164.0,657.0,366.0,15253.0,1451.0,Championship 2024-2025,championship,2024-2025,2024
vs Augsburg,29,56.1,34.0,22452.0,2539.0,7733.0,9896.0,5017.0,852.0,22442.0,551.0,255.0,46.3,237.0,43.0,12145.0,63808.0,33187.0,665.0,446.0,176.0,495.0,291.0,14820.0,1415.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Bayern Munich,30,38.7,34.0,18550.0,2714.0,7474.0,7510.0,3763.0,576.0,18546.0,539.0,265.0,49.2,245.0,45.5,10262.0,53814.0,27761.0,504.0,335.0,135.0,474.0,275.0,11569.0,988.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Bochum,25,53.4,34.0,20892.0,2608.0,7568.0,8785.0,4737.0,935.0,20881.0,637.0,280.0,44.0,294.0,46.2,10614.0,56853.0,28646.0,597.0,419.0,178.0,550.0,309.0,12091.0,1250.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Darmstadt 98,32,54.3,34.0,22128.0,1940.0,6581.0,10364.0,5396.0,922.0,22126.0,647.0,298.0,46.1,285.0,44.0,12934.0,68157.0,35680.0,647.0,459.0,149.0,478.0,275.0,14789.0,1439.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Dortmund,32,42.2,34.0,18854.0,2199.0,6177.0,8138.0,4755.0,807.0,18848.0,602.0,265.0,44.0,292.0,48.5,10089.0,54181.0,27875.0,608.0,429.0,159.0,440.0,256.0,11549.0,1272.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Eint Frankfurt,34,47.9,34.0,21497.0,2276.0,7083.0,9819.0,4781.0,710.0,21486.0,600.0,255.0,42.5,293.0,48.8,11753.0,60099.0,29417.0,499.0,404.0,108.0,511.0,309.0,13647.0,1272.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Freiburg,25,53.4,34.0,22323.0,2109.0,7300.0,10135.0,5097.0,915.0,22318.0,509.0,236.0,46.4,227.0,44.6,12935.0,68090.0,35743.0,623.0,463.0,197.0,568.0,319.0,14833.0,1324.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Gladbach,27,53.2,34.0,23363.0,1938.0,5995.0,11570.0,6005.0,923.0,23357.0,570.0,247.0,43.3,287.0,50.4,13455.0,70904.0,36441.0,671.0,510.0,157.0,507.0,295.0,15946.0,1590.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Heidenheim,22,57.5,34.0,23799.0,2153.0,7281.0,11271.0,5475.0,906.0,23789.0,639.0,316.0,49.5,275.0,43.0,12897.0,72479.0,37462.0,702.0,475.0,178.0,579.0,326.0,15542.0,1570.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Hoffenheim,30,50.5,34.0,21315.0,2099.0,6345.0,9388.0,5782.0,990.0,21310.0,594.0,282.0,47.5,259.0,43.6,12206.0,65876.0,34174.0,683.0,476.0,188.0,501.0,258.0,13693.0,1498.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Köln,26,53.5,34.0,22354.0,2312.0,7246.0,10218.0,5080.0,871.0,22351.0,724.0,317.0,43.8,342.0,47.2,12564.0,61749.0,29966.0,502.0,372.0,141.0,478.0,275.0,14638.0,1425.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Leverkusen,24,38.2,34.0,18788.0,2777.0,7483.0,7995.0,3487.0,521.0,18788.0,434.0,206.0,47.5,197.0,45.4,10116.0,50140.0,24268.0,398.0,310.0,89.0,500.0,261.0,11706.0,932.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Mainz 05,30,53.9,34.0,21939.0,2540.0,7525.0,9963.0,4634.0,686.0,21935.0,587.0,250.0,42.6,276.0,47.0,11631.0,58570.0,29143.0,522.0,423.0,118.0,535.0,296.0,13613.0,1191.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs RB Leipzig,26,44.7,34.0,19629.0,2388.0,6910.0,8695.0,4199.0,658.0,19624.0,527.0,243.0,46.1,244.0,46.3,9873.0,52652.0,26256.0,495.0,358.0,115.0,455.0,294.0,12398.0,1121.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Stuttgart,27,40.1,34.0,18685.0,2333.0,7069.0,8141.0,3673.0,599.0,18682.0,567.0,260.0,45.9,253.0,44.6,10135.0,52742.0,25761.0,466.0,313.0,123.0,491.0,284.0,11462.0,997.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Union Berlin,30,57.1,34.0,23821.0,2027.0,6593.0,12099.0,5328.0,804.0,23814.0,541.0,250.0,46.2,254.0,47.0,13651.0,72278.0,38450.0,664.0,511.0,155.0,522.0,295.0,15948.0,1557.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Werder Bremen,30,53.2,34.0,22502.0,2010.0,6280.0,10902.0,5556.0,892.0,22496.0,664.0,297.0,44.7,312.0,47.0,12887.0,66278.0,32946.0,638.0,542.0,156.0,476.0,292.0,14896.0,1414.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Wolfsburg,28,52.0,34.0,21938.0,2129.0,7233.0,9688.0,5202.0,746.0,21935.0,575.0,265.0,46.1,262.0,45.6,12233.0,61365.0,30341.0,532.0,420.0,132.0,519.0,288.0,14598.0,1337.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
vs Arsenal,25,41.8,38.0,20293.0,3159.0,8333.0,8198.0,3972.0,570.0,20290.0,612.0,272.0,44.4,271.0,44.3,11433.0,59629.0,28836.0,534.0,409.0,159.0,455.0,339.0,12601.0,922.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Aston Villa,31,46.9,38.0,21375.0,2242.0,6844.0,9746.0,4982.0,893.0,21373.0,624.0,290.0,46.5,260.0,41.7,12396.0,65150.0,34304.0,640.0,423.0,225.0,462.0,287.0,14068.0,1232.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Bournemouth,30,55.6,38.0,24614.0,2739.0,8577.0,10035.0,6266.0,1091.0,24607.0,774.0,363.0,46.9,325.0,42.0,13547.0,71745.0,35487.0,720.0,489.0,242.0,620.0,368.0,15730.0,1485.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Brentford,28,54.8,38.0,24878.0,2517.0,6726.0,10242.0,8181.0,1028.0,24876.0,749.0,380.0,50.7,317.0,42.3,14619.0,75272.0,38766.0,847.0,746.0,222.0,580.0,360.0,16241.0,1568.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Brighton,30,40.2,38.0,20830.0,2739.0,7640.0,8574.0,4840.0,930.0,20824.0,739.0,351.0,47.5,307.0,41.5,11776.0,63550.0,31288.0,651.0,413.0,246.0,431.0,337.0,13319.0,1165.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Burnley,31,52.6,38.0,24357.0,2490.0,7698.0,10948.0,5926.0,1184.0,24351.0,669.0,300.0,44.8,284.0,42.5,13786.0,71362.0,35157.0,711.0,451.0,269.0,558.0,323.0,15955.0,1486.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Chelsea,32,41.4,38.0,20871.0,2485.0,7052.0,8333.0,5718.0,1031.0,20866.0,722.0,307.0,42.5,323.0,44.7,11209.0,63676.0,34886.0,727.0,458.0,253.0,514.0,340.0,12918.0,1351.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Crystal Palace,26,57.7,38.0,27523.0,2457.0,8439.0,12486.0,6795.0,914.0,27520.0,690.0,272.0,39.4,337.0,48.8,16221.0,84641.0,42863.0,679.0,579.0,160.0,601.0,451.0,19015.0,1694.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Everton,26,59.2,38.0,27206.0,2937.0,9728.0,11425.0,6268.0,1050.0,27198.0,790.0,354.0,44.8,347.0,43.9,15899.0,84307.0,44356.0,790.0,513.0,243.0,577.0,396.0,18485.0,1624.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Fulham,25,49.4,38.0,24273.0,2541.0,7724.0,10902.0,5864.0,1009.0,24265.0,758.0,332.0,43.8,346.0,45.6,14394.0,75437.0,39616.0,684.0,485.0,212.0,534.0,333.0,16060.0,1518.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Liverpool,30,38.7,38.0,20456.0,3259.0,8298.0,8133.0,4236.0,752.0,20455.0,861.0,427.0,49.6,341.0,39.6,10444.0,56083.0,28141.0,559.0,365.0,193.0,580.0,336.0,11690.0,1145.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Luton Town,28,57.6,38.0,25427.0,2537.0,8034.0,10856.0,6765.0,1207.0,25423.0,697.0,317.0,45.5,299.0,42.9,14871.0,77080.0,38192.0,723.0,513.0,264.0,596.0,355.0,16773.0,1485.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Manchester City,25,34.8,38.0,18890.0,3282.0,8694.0,7051.0,3326.0,561.0,18887.0,499.0,236.0,47.3,222.0,44.5,10332.0,52964.0,24987.0,470.0,325.0,146.0,509.0,295.0,11765.0,822.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Manchester Utd,31,49.4,38.0,23628.0,2703.0,7704.0,9592.0,6589.0,1199.0,23621.0,805.0,366.0,45.5,349.0,43.4,13309.0,75180.0,40323.0,862.0,593.0,266.0,539.0,327.0,15237.0,1556.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Newcastle Utd,32,47.8,38.0,22533.0,2797.0,7324.0,9694.0,5791.0,925.0,22528.0,746.0,379.0,50.8,302.0,40.5,12728.0,67848.0,34034.0,699.0,508.0,245.0,513.0,359.0,14420.0,1328.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Nott'ham Forest,33,59.4,38.0,27172.0,2346.0,7392.0,12618.0,7355.0,986.0,27168.0,688.0,283.0,41.1,326.0,47.4,16430.0,87606.0,47564.0,815.0,593.0,194.0,585.0,402.0,18940.0,1883.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Sheffield Utd,35,64.2,38.0,28735.0,2049.0,7261.0,13719.0,7971.0,1290.0,28728.0,710.0,336.0,47.3,299.0,42.1,17717.0,94062.0,49350.0,964.0,677.0,298.0,549.0,410.0,20350.0,1954.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Tottenham,29,38.4,38.0,19606.0,2928.0,7637.0,7184.0,4979.0,889.0,19599.0,763.0,331.0,43.4,360.0,47.2,10097.0,50889.0,24968.0,525.0,352.0,193.0,494.0,364.0,11531.0,1091.0,Premier League 2023-2024,premier league,2023-2024,2023
vs West Ham,26,58.9,38.0,27970.0,2456.0,7914.0,12490.0,7789.0,1289.0,27960.0,667.0,300.0,45.0,307.0,46.0,16671.0,88799.0,48084.0,963.0,666.0,285.0,519.0,377.0,19625.0,2004.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Wolves,27,51.1,38.0,24401.0,2229.0,6816.0,10809.0,6974.0,1124.0,24392.0,679.0,295.0,43.4,312.0,45.9,14015.0,71969.0,37538.0,734.0,524.0,237.0,576.0,427.0,16320.0,1726.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Alavés,30,58.2,38.0,24410.0,2398.0,7446.0,11388.0,5787.0,818.0,24402.0,698.0,339.0,48.6,290.0,41.5,13762.0,75816.0,41243.0,744.0,542.0,187.0,663.0,288.0,16187.0,1487.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Almería,35,53.6,38.0,23390.0,2099.0,6542.0,10880.0,6169.0,1003.0,23381.0,641.0,302.0,47.1,280.0,43.7,13182.0,69802.0,36749.0,751.0,563.0,204.0,518.0,353.0,15316.0,1620.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Athletic Club,27,50.2,38.0,23484.0,2691.0,8965.0,10228.0,4515.0,674.0,23479.0,707.0,330.0,46.7,305.0,43.1,12385.0,62315.0,30852.0,521.0,413.0,127.0,636.0,276.0,14757.0,1281.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Atlético Madrid,27,49.2,38.0,24093.0,2473.0,7087.0,11377.0,5862.0,780.0,24091.0,734.0,344.0,46.9,327.0,44.6,13383.0,68637.0,34692.0,648.0,485.0,140.0,585.0,327.0,16293.0,1533.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Barcelona,29,35.7,38.0,17756.0,2590.0,6676.0,7139.0,4146.0,710.0,17754.0,583.0,280.0,48.0,243.0,41.7,8889.0,47244.0,23635.0,487.0,364.0,162.0,466.0,328.0,10372.0,982.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Betis,35,49.6,38.0,23260.0,2492.0,7590.0,10639.0,5269.0,717.0,23252.0,744.0,325.0,43.7,358.0,48.1,12459.0,67077.0,34583.0,649.0,532.0,144.0,556.0,334.0,15032.0,1440.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Cádiz,34,56.7,38.0,24061.0,2102.0,7017.0,10887.0,6383.0,796.0,24059.0,807.0,387.0,48.0,342.0,42.4,13220.0,72327.0,38991.0,787.0,604.0,170.0,628.0,330.0,15630.0,1662.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Celta Vigo,31,53.9,38.0,25210.0,2323.0,7202.0,12448.0,5778.0,865.0,25201.0,726.0,354.0,48.8,308.0,42.4,14322.0,73397.0,36692.0,651.0,474.0,161.0,604.0,319.0,16825.0,1517.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Getafe,33,55.2,38.0,22993.0,2488.0,8205.0,10305.0,4717.0,750.0,22986.0,640.0,286.0,44.7,291.0,45.5,12328.0,64824.0,32570.0,599.0,404.0,146.0,629.0,317.0,14334.0,1309.0,La Liga 2023-2024,la liga,2023-2024,2023
